Year,Rank,Song,Artist,gender
1990-01-01,72,i remember you,skid row,
1990-01-01,73,get up before the night is over,technotronic featuring ya kid k,
1990-01-01,74,here we are,gloria estefan,female
1990-01-01,75,epic,faith no more,
1990-01-01,76,love takes time,mariah carey,female
1990-01-01,77,just like jesse james,cher,female
1990-01-01,78,love shack,the b52s,
1990-01-01,79,all or nothing,milli vanilli,
1990-01-01,80,romeo,dino,male
1990-01-01,81,everybody everybody,black box,
1990-01-01,82,i go to extremes,billy joel,male
1990-01-01,83,whip appeal,babyface,
1990-01-01,84,oh girl,paul young,male
1990-01-01,85,cmon and get my love,d mob featuring cathy dennis,
1990-01-01,86,its just the way that you love me,paula abdul,female
1990-01-01,87,we cant go wrong,the cover girls,
1990-01-01,88,when im back on my feet again,michael bolton,male
1990-01-01,89,make you sweat,keith sweat,male
1990-01-01,90,this ones for the children,new kids on the block,
1990-01-01,91,what it takes,aerosmith,
1990-01-01,92,forever,kiss,
1990-01-01,93,jerk out,the time,
1990-01-01,94,just a friend,biz markie,male
1990-01-01,95,whole wide world,ame lorain,female
1990-01-01,96,without you,motley crue,
1990-01-01,97,swing the mood,jive bunny and the mastermixers,
1990-01-01,98,thieves in the temple,prince,male
1990-01-01,99,mentirosa,mellow man ace,
1990-01-01,100,tictactoe,kyper,
1991-01-01,1,everything i do i do it for you,bryan adams,male
1991-01-01,2,i wanna sex you up,color me badd,
1991-01-01,3,gonna make you sweat everybody dance now,cc music factory,
1991-01-01,4,rush rush,paula abdul,female
1991-01-01,5,one more try,timmy t,
1991-01-01,6,unbelievable,emf,
1991-01-01,7,more than words,extreme,
1991-01-01,8,i like the way the kissing game,hifive,
1991-01-01,9,the first time,surface,
1991-01-01,10,baby baby,amy grant,female
1991-01-01,11,motownphilly,boyz ii men,
1991-01-01,12,because i love you the postman song,stevie b,male
1991-01-01,13,someday,mariah carey,female
1991-01-01,14,high enough,damn yankees,
1991-01-01,15,from a distance,bette midler,female
1991-01-01,16,all the man that i need,whitney houston,female
1991-01-01,17,right here right now,jesus jones,
1991-01-01,18,i adore mi amor,color me badd,
1991-01-01,19,love will never do without you,janet jackson,female
1991-01-01,20,good vibrations,marky mark and the funky bunch featuring loleatta holloway,
1991-01-01,21,justify my love,madonna,female
1991-01-01,22,emotions,mariah carey,female
1991-01-01,23,joyride,roxette,
1991-01-01,24,romantic,karyn white,female
1991-01-01,25,hold you tight,tara kemp,female
1991-01-01,26,i dont wanna cry,mariah carey,female
1991-01-01,27,youre in love,wilson phillips,
1991-01-01,28,every heartbeat,amy grant,female
1991-01-01,29,sensitivity,ralph tresvant,male
1991-01-01,30,touch me all night long,cathy dennis,female
1991-01-01,31,ive been thinking about you,londonbeat,
1991-01-01,32,do anything,natural selection,
1991-01-01,33,losing my religion,rem,
1991-01-01,34,coming out of the dark,gloria estefan,female
1991-01-01,35,here we go,cc music factory,
1991-01-01,36,it aint over til its over,lenny kravitz,male
1991-01-01,37,where does my heart beat now,celine dion,female
1991-01-01,38,summertime,dj jazzy jeff  the fresh prince,
1991-01-01,39,wind of change,scorpions,
1991-01-01,40,passion,rythm syndicate,
1991-01-01,41,the promise of a new day,paula abdul,female
1991-01-01,42,im your baby tonight,whitney houston,female
1991-01-01,43,love of a lifetime,firehouse,
1991-01-01,44,fading like a flower every time you leave,roxette,
1991-01-01,45,this house,tracie spencer,
1991-01-01,46,hole hearted,extreme,
1991-01-01,47,power of lovelove power,luther vandross,male
1991-01-01,48,impulsive,wilson phillips,
1991-01-01,49,love is a wonderful thing,michael bolton,male
1991-01-01,50,rhythm of my heart,rod stewart,male
1991-01-01,51,things that make you go hmmm,cc music factory,
1991-01-01,52,i touch myself,divinyls,
1991-01-01,53,toms diner,dna featuring suzanne vega,
1991-01-01,54,iesha,another bad creation,
1991-01-01,55,something to talk about,bonnie raitt,female
1991-01-01,56,after the rain,nelson,
1991-01-01,57,play that funky music,vanilla ice,male
1991-01-01,58,temptation,corina,female
1991-01-01,59,cant stop this thing we started,bryan adams,male
1991-01-01,60,i cant wait another minute,hifive,
1991-01-01,61,3 am eternal,the klf,
1991-01-01,62,time love and tenderness,michael bolton,male
1991-01-01,63,sadeness part i,enigma,
1991-01-01,64,around the way girl,ll cool j,male
1991-01-01,65,ill be there,the escape club,
1991-01-01,66,cream,prince and the new power generation,
1991-01-01,67,now that we found love,heavy d  the boyz,
1991-01-01,68,show me the way,styx,
1991-01-01,69,love takes time,mariah carey,female
1991-01-01,70,cry for help,rick astley,male
1991-01-01,71,the way you do the things you do,ub40,
1991-01-01,72,here i am come and take me,ub40,
1991-01-01,73,signs,tesla,
1991-01-01,74,too many walls,cathy dennis,female
1991-01-01,75,crazy,seal,male
1991-01-01,76,ill give all my love to you,keith sweat,male
1991-01-01,77,place in this world,michael w smith,
1991-01-01,78,something to believe in,poison,
1991-01-01,79,wicked game,chris isaak,male
1991-01-01,80,get here,oleta adams,female
1991-01-01,81,round and round,tevin campbell,male
1991-01-01,82,silent lucidity,queensryche,
1991-01-01,83,im not in love,will to power,
1991-01-01,84,piece of my heart,tara kemp,female
1991-01-01,85,real real real,jesus jones,
1991-01-01,86,just another dream,cathy dennis,female
1991-01-01,87,everybody plays the fool,aaron neville,
1991-01-01,88,strike it up,black box,
1991-01-01,89,rico suave,gerardo,
1991-01-01,90,disappear,inxs,
1991-01-01,91,groove is in the heart,deeelite,
1991-01-01,92,all this time,sting,male
1991-01-01,93,the one and only,chesney hawkes,male
1991-01-01,94,opp,naughty by nature,
1991-01-01,95,freedom 90,george michael,male
1991-01-01,96,i saw red,warrant,
1991-01-01,97,miles away,winger,
1991-01-01,98,do you want me,saltnpepa,
1991-01-01,99,the motown song,rod stewart,male
1991-01-01,100,shiny happy people,rem,
1992-01-01,1,end of the road,boyz ii men,
1992-01-01,2,baby got back,sir mixalot,male
1992-01-01,3,jump,kris kross,
1992-01-01,4,save the best for last,vanessa williams,female
1992-01-01,5,babybabybaby,tlc,
1992-01-01,6,tears in heaven,eric clapton,male
1992-01-01,7,my lovin youre never gonna get it,en vogue,
1992-01-01,8,under the bridge,red hot chili peppers,
1992-01-01,9,all 4 love,color me badd,
1992-01-01,10,just another day,jon secada,male
1992-01-01,11,i love your smile,shanice,female
1992-01-01,12,to be with you,mr big,
1992-01-01,13,im too sexy,right said fred,
1992-01-01,14,black or white,michael jackson,male
1992-01-01,15,achy breaky heart,billy ray cyrus,male
1992-01-01,16,ill be there,mariah carey,female
1992-01-01,17,november rain,guns n roses,
1992-01-01,18,life is a highway,tom cochrane,male
1992-01-01,19,remember the time,michael jackson,male
1992-01-01,20,finally,cece peniston,female
1992-01-01,21,this used to be my playground,madonna,female
1992-01-01,22,sometimes love just aint enough,patty smyth,female
1992-01-01,23,cant let go,mariah carey,female
1992-01-01,24,jump around,house of pain,
1992-01-01,25,diamonds and pearls,prince and the new power generation,
1992-01-01,26,dont let the sun go down on me,george michael and elton john,
1992-01-01,27,masterpiece,atlantic starr,
1992-01-01,28,if you asked me to,celine dion,female
1992-01-01,29,giving him something he can feel,en vogue,
1992-01-01,30,live and learn,joe public,
1992-01-01,31,come and talk to me,jodeci,
1992-01-01,32,smells like teen spirit,nirvana,
1992-01-01,33,humpin around,bobby brown,male
1992-01-01,34,damn i wish i was your lover,sophie b hawkins,female
1992-01-01,35,tell me what you want me to do,tevin campbell,male
1992-01-01,36,aint 2 proud 2 beg,tlc,
1992-01-01,37,its so hard to say goodbye to yesterday,boyz ii men,
1992-01-01,38,move this,technotronic featuring ya kid k,
1992-01-01,39,bohemian rhapsody,queen,
1992-01-01,40,tennessee,arrested development,
1992-01-01,41,the best things in life are free,luther vandross and janet jackson,
1992-01-01,42,make it happen,mariah carey,female
1992-01-01,43,the one,elton john,male
1992-01-01,44,set adrift on memory bliss,pm dawn,
1992-01-01,45,stay,shakespears sister,
1992-01-01,46,2 legit 2 quit,hammer,
1992-01-01,47,please dont go,kws,
1992-01-01,48,breakin my heart pretty brown eyes,mint condition,
1992-01-01,49,wishing on a star,the cover girls,
1992-01-01,50,shes playing hard to get,hifive,
1992-01-01,51,id die without you,pm dawn,
1992-01-01,52,good for me,amy grant,female
1992-01-01,53,all i want,toad the wet sprocket,
1992-01-01,54,when a man loves a woman,michael bolton,male
1992-01-01,55,i cant dance,genesis,
1992-01-01,56,hazard,richard marx,male
1992-01-01,57,mysterious ways,u2,
1992-01-01,58,too funky,george michael,male
1992-01-01,59,how do you talk to an angel,the heights,
1992-01-01,60,one,u2,
1992-01-01,61,keep on walkin,cece peniston,female
1992-01-01,62,hold on my heart,genesis,
1992-01-01,63,the way i feel about you,karyn white,female
1992-01-01,64,beauty and the beast,celine dion and peabo bryson,
1992-01-01,65,warm it up,kris kross,
1992-01-01,66,in the closet,michael jackson,male
1992-01-01,67,people everyday,arrested development,
1992-01-01,68,no son of mine,genesis,
1992-01-01,69,wildside,marky mark and the funky bunch,
1992-01-01,70,do i have to say the words,bryan adams,male
1992-01-01,71,friday im in love,the cure,
1992-01-01,72,everything about you,ugly kid joe,
1992-01-01,73,blowing kisses in the wind,paula abdul,female
1992-01-01,74,thought id died and gone to heaven,bryan adams,male
1992-01-01,75,rhythm is a dancer,snap,
1992-01-01,76,addams groove,hammer,
1992-01-01,77,missing you now,michael bolton,male
1992-01-01,78,back to the hotel,n2deep,
1992-01-01,79,everything changes,kathy troccoli,female
1992-01-01,80,have you ever needed someone so bad,def leppard,
1992-01-01,81,take this heart,richard marx,male
1992-01-01,82,when i look into your eyes,firehouse,
1992-01-01,83,i wanna love you,jade,
1992-01-01,84,uhh ahh,boyz ii men,
1992-01-01,85,real love,mary j blige,female
1992-01-01,86,justified and ancient,the klf,
1992-01-01,87,slow motion,color me badd,
1992-01-01,88,what about your friends,tlc,
1992-01-01,89,thinkin back,color me badd,
1992-01-01,90,would i lie to you,charles  eddie,
1992-01-01,91,thats what love is for,amy grant,female
1992-01-01,92,keep coming back,richard marx,male
1992-01-01,93,free your mind,en vogue,
1992-01-01,94,keep it comin,keith sweat,male
1992-01-01,95,just take my heart,mr big,
1992-01-01,96,i will remember you,amy grant,female
1992-01-01,97,we got a love thang,cece peniston,female
1992-01-01,98,lets get rocked,def leppard,
1992-01-01,99,they want efx,das efx,
1992-01-01,100,i cant make you love me,bonnie raitt,female
1993-01-01,1,i will always love you,whitney houston,female
1993-01-01,2,whoomp there it is,tag team,
1993-01-01,3,cant help falling in love,ub40,
1993-01-01,4,thats the way love goes,janet jackson,female
1993-01-01,5,freak me,silk,
1993-01-01,6,weak,swv,
1993-01-01,7,if i ever fall in love,shai,
1993-01-01,8,dreamlover,mariah carey,female
1993-01-01,9,rump shaker,wreckxneffect,
1993-01-01,10,informer,snow,male
1993-01-01,11,nuthin but a g thang,dr dre,male
1993-01-01,12,in the still of the nite,boyz ii men,
1993-01-01,13,dont walk away,jade,
1993-01-01,14,knockin da boots,htown,
1993-01-01,15,lately,jodeci,
1993-01-01,16,dazzey duks,duice,
1993-01-01,17,show me love,robin s,female
1993-01-01,18,a whole new world,peabo bryson and regina belle,
1993-01-01,19,if,janet jackson,female
1993-01-01,20,im so into you,swv,
1993-01-01,21,love is,vanessa williams and brian mcknight,
1993-01-01,22,runaway train,soul asylum,
1993-01-01,23,ill never get over you getting over me,expose,
1993-01-01,24,ditty,paperboy,
1993-01-01,25,rhythm is a dancer,snap,
1993-01-01,26,the river of dreams,billy joel,male
1993-01-01,27,im gonna be 500 miles,the proclaimers,male
1993-01-01,28,two princes,spin doctors,
1993-01-01,29,right here,swv,
1993-01-01,30,i have nothing,whitney houston,female
1993-01-01,31,mr wendal,arrested development,
1993-01-01,32,have i told you lately,rod stewart,male
1993-01-01,33,saving forever for you,shanice,female
1993-01-01,34,ordinary world,duran duran,
1993-01-01,35,if i had no loot,tony toni tone,
1993-01-01,36,id do anything for love but i wont do that,meat loaf,male
1993-01-01,37,slam,onyx,
1993-01-01,38,looking through patient eyes,pm dawn,
1993-01-01,39,im every woman,whitney houston,female
1993-01-01,40,baby im yours,shai,
1993-01-01,41,come undone,duran duran,
1993-01-01,42,i dont wanna fight,tina turner,female
1993-01-01,43,id die without you,pm dawn,
1993-01-01,44,whoot there it is,95 south,
1993-01-01,45,hip hop hooray,naughty by nature,
1993-01-01,46,another sad love song,toni braxton,female
1993-01-01,47,will you be there,michael jackson,male
1993-01-01,48,comforter,shai,
1993-01-01,49,good enough,bobby brown,male
1993-01-01,50,whats up,4 non blondes,
1993-01-01,51,all that she wants,ace of base,
1993-01-01,52,7,prince and the new power generation,
1993-01-01,53,dre day,dr dre featuring snoop doggy dogg,
1993-01-01,54,one last cry,brian mcknight,male
1993-01-01,55,just kickin it,xscape,
1993-01-01,56,i get around,2pac,
1993-01-01,57,bed of roses,bon jovi,
1993-01-01,58,real love,mary j blige,female
1993-01-01,59,here we go again,portrait,
1993-01-01,60,cryin,aerosmith,
1993-01-01,61,cats in the cradle,ugly kid joe,
1993-01-01,62,what about your friends,tlc,
1993-01-01,63,i got a man,positive k,male
1993-01-01,64,hey mr dj,zhane,
1993-01-01,65,insane in the brain,cypress hill,
1993-01-01,66,deeper and deeper,madonna,female
1993-01-01,67,rain,madonna,female
1993-01-01,68,the right kind of love,jeremy jordan,male
1993-01-01,69,bad boys,inner circle,
1993-01-01,70,thats what love can do,boy krazy,
1993-01-01,71,do you believe in us,jon secada,male
1993-01-01,72,angel,jon secada,male
1993-01-01,73,forever in love,kenny g,
1993-01-01,74,again,janet jackson,female
1993-01-01,75,boom shake the room,dj jazzy jeff  the fresh prince,
1993-01-01,76,when she cries,restless heart,
1993-01-01,77,sweat a la la la la long,inner circle,
1993-01-01,78,it was a good day,ice cube,male
1993-01-01,79,more and more,captain hollywood project,
1993-01-01,80,how do you talk to an angel,the heights,
1993-01-01,81,rebirth of slick cool like dat,digable planets,
1993-01-01,82,what is love,haddaway,
1993-01-01,83,to love somebody,michael bolton,male
1993-01-01,84,give it up turn it loose,en vogue,
1993-01-01,85,alright,kris kross,
1993-01-01,86,check yo self,ice cube featuring das efx,
1993-01-01,87,fields of gold,sting,male
1993-01-01,88,ooh child,dino,male
1993-01-01,89,faithful,go west,
1993-01-01,90,reason to believe,rod stewart,male
1993-01-01,91,break it down again,tears for fears,
1993-01-01,92,nothin my love cant fix,joey lawrence,male
1993-01-01,93,three little pigs,green jelly,
1993-01-01,94,livin on the edge,aerosmith,
1993-01-01,95,hey jealousy,gin blossoms,
1993-01-01,96,if i ever lose my faith in you,sting,male
1993-01-01,97,anniversary,tony toni tone,
1993-01-01,98,one woman,jade,
1993-01-01,99,cant get enough of your love,taylor dayne,female
1993-01-01,100,two steps behind,def leppard,
1994-01-01,1,the sign,ace of base,
1994-01-01,2,i swear,all4one,
1994-01-01,3,ill make love to you,boyz ii men,
1994-01-01,4,the power of love,celine dion,female
1994-01-01,5,hero,mariah carey,female
1994-01-01,6,stay i missed you,lisa loeb and nine stories,
1994-01-01,7,breathe again,toni braxton,female
1994-01-01,8,all for love,bryan adams rod stewart and sting,
1994-01-01,9,all that she wants,ace of base,
1994-01-01,10,dont turn around,ace of base,
1994-01-01,11,bump n grind,r kelly,male
1994-01-01,12,again,janet jackson,female
1994-01-01,13,ill remember,madonna,female
1994-01-01,14,whatta man,saltnpepa and en vogue,
1994-01-01,15,wild night,john mellencamp featuring meshell ndegeocello,
1994-01-01,16,without you  never forget you,mariah carey,female
1994-01-01,17,you mean the world to me,toni braxton,female
1994-01-01,18,can you feel the love tonight,elton john,male
1994-01-01,19,the most beautiful girl in the world,prince,male
1994-01-01,20,fantastic voyage,coolio,male
1994-01-01,21,baby i love your way,big mountain,
1994-01-01,22,regulate,warren g featuring nate dogg,
1994-01-01,23,if you go,jon secada,male
1994-01-01,24,back  forth,aaliyah,female
1994-01-01,25,now and forever,richard marx,male
1994-01-01,26,when can i see you,babyface,
1994-01-01,27,please forgive me,bryan adams,male
1994-01-01,28,so much in love,all4one,
1994-01-01,29,shoop,saltnpepa,
1994-01-01,30,any time any place,janet jackson,female
1994-01-01,31,shine,collective soul,
1994-01-01,32,said i loved youbut i lied,michael bolton,male
1994-01-01,33,return to innocence,enigma,
1994-01-01,34,all i wanna do,sheryl crow,female
1994-01-01,35,mmm mmm mmm mmm,crash test dummies,
1994-01-01,36,can we talk,tevin campbell,male
1994-01-01,37,funkdafied,da brat,
1994-01-01,38,id do anything for love but i wont do that,meat loaf,male
1994-01-01,39,gangsta lean,drs,
1994-01-01,40,because the night,10000 maniacs,
1994-01-01,41,cantaloop flip fantasia,us3,
1994-01-01,42,whoomp there it is,tag team,
1994-01-01,43,come to my window,melissa etheridge,female
1994-01-01,44,stroke you up,changing faces,
1994-01-01,45,im ready,tevin campbell,male
1994-01-01,46,100 pure love,crystal waters,female
1994-01-01,47,anytime you need a friend,mariah carey,female
1994-01-01,48,because of love,janet jackson,female
1994-01-01,49,linger,the cranberries,
1994-01-01,50,loser,beck,male
1994-01-01,51,found out about you,gin blossoms,
1994-01-01,52,gin and juice,snoop doggy dogg,
1994-01-01,53,never lie,immature,
1994-01-01,54,streets of philadelphia,bruce springsteen,male
1994-01-01,55,getto jam,domino,male
1994-01-01,56,endless love,luther vandross and mariah carey,
1994-01-01,57,i miss you,aaron hall,male
1994-01-01,58,understanding,xscape,
1994-01-01,59,this dj,warren g,male
1994-01-01,60,cry for you,jodeci,
1994-01-01,61,keep ya head up,2pac,
1994-01-01,62,whats my name,snoop doggy dogg,
1994-01-01,63,another night,real mccoy,
1994-01-01,64,your bodys callin,r kelly,male
1994-01-01,65,tootsee roll,69 boyz,
1994-01-01,66,i can see clearly now,jimmy cliff,
1994-01-01,67,never keeping secrets,babyface,
1994-01-01,68,crazy,aerosmith,
1994-01-01,69,just kickin it,xscape,
1994-01-01,70,at your best you are love,aaliyah,female
1994-01-01,71,rock and roll dreams come through,meat loaf,male
1994-01-01,72,amazing,aerosmith,
1994-01-01,73,always,erasure,
1994-01-01,74,groove thang,zhane,
1994-01-01,75,dreams,gabrielle,female
1994-01-01,76,mr vain,culture beat,
1994-01-01,77,mary janes last dance,tom petty and the heartbreakers,
1994-01-01,78,anything,swv,
1994-01-01,79,beautiful in my eyes,joshua kadison,male
1994-01-01,80,stay,eternal,
1994-01-01,81,flava in ya ear,craig mack,male
1994-01-01,82,unity,queen latifah,female
1994-01-01,83,prayer for the dying,seal,male
1994-01-01,84,secret,madonna,female
1994-01-01,85,here comes the hotstepper,ini kamoze,
1994-01-01,86,everyday,phil collins,male
1994-01-01,87,dont take the girl,tim mcgraw,male
1994-01-01,88,got me waiting,heavy d  the boyz,
1994-01-01,89,december 1963 oh what a night,the four seasons,
1994-01-01,90,indian outlaw,tim mcgraw,male
1994-01-01,91,always,bon jovi,
1994-01-01,92,far behind,candlebox,
1994-01-01,93,back in the day,ahmad,male
1994-01-01,94,love sneakin up on you,bonnie raitt,female
1994-01-01,95,ill take you there,general public,
1994-01-01,96,always in my heart,tevin campbell,male
1994-01-01,97,what is love,haddaway,
1994-01-01,98,and our feelings,babyface,
1994-01-01,99,bop gun one nation,ice cube featuring george clinton,
1994-01-01,100,i wanna be down,brandy,
1995-01-01,1,gangstas paradise,coolio featuring lv,
1995-01-01,2,waterfalls,tlc,
1995-01-01,3,creep,tlc,
1995-01-01,4,kiss from a rose,seal,male
1995-01-01,5,on bended knee,boyz ii men,
1995-01-01,6,another night,real mccoy,
1995-01-01,7,fantasy,mariah carey,female
1995-01-01,8,take a bow,madonna,female
1995-01-01,9,dont take it personal just one of dem days,monica,female
1995-01-01,10,this is how we do it,montell jordan,male
1995-01-01,11,i know,dionne farris,female
1995-01-01,12,water runs dry,boyz ii men,
1995-01-01,13,freak like me,adina howard,female
1995-01-01,14,runaround,blues traveler,
1995-01-01,15,i can love you like that,all4one,
1995-01-01,16,have you ever really loved a woman,bryan adams,male
1995-01-01,17,always,bon jovi,
1995-01-01,18,boombastic,shaggy,male
1995-01-01,19,total eclipse of the heart,nicki french,female
1995-01-01,20,you gotta be,desree,female
1995-01-01,21,you are not alone,michael jackson,male
1995-01-01,22,hold my hand,hootie  the blowfish,
1995-01-01,23,one more chance,the notorious big,male
1995-01-01,24,here comes the hotstepper,ini kamoze,
1995-01-01,25,candy rain,soul for real,
1995-01-01,26,let her cry,hootie  the blowfish,
1995-01-01,27,i believe,blessid union of souls,
1995-01-01,28,red light special,tlc,
1995-01-01,29,runaway,janet jackson,female
1995-01-01,30,strong enough,sheryl crow,female
1995-01-01,31,colors of the wind,vanessa williams,female
1995-01-01,32,someone to love,jon b,male
1995-01-01,33,only wanna be with you,hootie  the blowfish,
1995-01-01,34,if you love me,brownstone,female
1995-01-01,35,in the house of stone and light,martin page,male
1995-01-01,36,i got 5 on it,luniz,
1995-01-01,37,baby,brandy,
1995-01-01,38,run away,real mccoy,
1995-01-01,39,as i lay me down,sophie b hawkins,female
1995-01-01,40,hes mine,mokenstef,
1995-01-01,41,december,collective soul,
1995-01-01,42,ill be there for youyoure all i need to get by,method man featuring mary j blige,
1995-01-01,43,shy guy,diana king,
1995-01-01,44,im the only one,melissa etheridge,female
1995-01-01,45,every little thing i do,soul for real,
1995-01-01,46,before i let you go,blackstreet,
1995-01-01,47,big poppa,the notorious big,male
1995-01-01,48,sukiyaki,400 pm,
1995-01-01,49,i wanna be down,brandy,
1995-01-01,50,ill make love to you,boyz ii men,
1995-01-01,51,dear mama,2pac,
1995-01-01,52,hold on,jamie walters,male
1995-01-01,53,keep their heads ringin,dr dre,male
1995-01-01,54,the rhythm of the night,corona,
1995-01-01,55,roll to me,del amitri,
1995-01-01,56,scream,michael jackson and janet jackson,
1995-01-01,57,freekn you,jodeci,
1995-01-01,58,i wish,skeelo,
1995-01-01,59,believe,elton john,male
1995-01-01,60,carnival,natalie merchant,female
1995-01-01,61,you dont know how it feels,tom petty,male
1995-01-01,62,back for good,take that,
1995-01-01,63,tootsee roll,69 boyz,
1995-01-01,64,you want this,janet jackson,female
1995-01-01,65,tell me,groove theory,
1995-01-01,66,cant you see,total featuring the notorious big,
1995-01-01,67,all i wanna do,sheryl crow,female
1995-01-01,68,this lil game we play,subway featuring 702,
1995-01-01,69,come and get your love,real mccoy,
1995-01-01,70,this aint a love song,bon jovi,
1995-01-01,71,secret,madonna,female
1995-01-01,72,players anthem,junior mafia featuring the notorious big,
1995-01-01,73,feel me flow,naughty by nature,
1995-01-01,74,every day of the week,jade,
1995-01-01,75,the sweetest days,vanessa williams,female
1995-01-01,76,short dick man,20 fingers featuring gillette,
1995-01-01,77,brokenhearted,brandy featuring wanya morris,
1995-01-01,78,no more i love yous,annie lennox,female
1995-01-01,79,you used to love me,faith evans,female
1995-01-01,80,constantly,immature,
1995-01-01,81,hold me thrill me kiss me kill me,u2,
1995-01-01,82,100 pure love,crystal waters,female
1995-01-01,83,ask of you,raphael saadiq,male
1995-01-01,84,sugar hill,az,male
1995-01-01,85,good,better than ezra,
1995-01-01,86,brown sugar,dangelo,male
1995-01-01,87,turn the beat around,gloria estefan,female
1995-01-01,88,til you do me right,after 7,
1995-01-01,89,1st of tha month,bone thugsnharmony,
1995-01-01,90,like the way i do,melissa etheridge,female
1995-01-01,91,i live my life for you,firehouse,
1995-01-01,92,dream about you,stevie b,male
1995-01-01,93,cotton eye joe,rednex,
1995-01-01,94,thank you,boyz ii men,
1995-01-01,95,ill stand by you,the pretenders,
1995-01-01,96,i miss you,n ii u,
1995-01-01,97,give it 2 you,da brat,
1995-01-01,98,best friend,brandy,
1995-01-01,99,misery,soul asylum,
1995-01-01,100,cant stop lovin you,van halen,
1996-01-01,1,macarena bayside boys mix,los del rio,
1996-01-01,2,one sweet day,mariah carey and boyz ii men,
1996-01-01,3,because you loved me,celine dion,female
1996-01-01,4,nobody knows,the tony rich project,
1996-01-01,5,always be my baby,mariah carey,female
1996-01-01,6,give me one reason,tracy chapman,female
1996-01-01,7,tha crossroads,bone thugsnharmony,
1996-01-01,8,i love you always forever,donna lewis,female
1996-01-01,9,youre makin me high  let it flow,toni braxton,female
1996-01-01,10,twisted,keith sweat,male
1996-01-01,11,cmon n ride it the train,quad city djs,
1996-01-01,12,missing,everything but the girl,
1996-01-01,13,ironic,alanis morissette,female
1996-01-01,14,exhale shoop shoop,whitney houston,female
1996-01-01,15,follow you down  til i hear it from you,gin blossoms,
1996-01-01,16,sittin up in my room,brandy,
1996-01-01,17,how do u want it  california love,2pac featuring kci  jojo  featuring dr dre,
1996-01-01,18,its all coming back to me now,celine dion,female
1996-01-01,19,change the world,eric clapton,male
1996-01-01,20,hey lover,ll cool j,male
1996-01-01,21,loungin,ll cool j,male
1996-01-01,22,insensitive,jann arden,female
1996-01-01,23,be my lover,la bouche,
1996-01-01,24,name,goo goo dolls,
1996-01-01,25,who will save your soul,jewel,female
1996-01-01,26,where do you go,no mercy,
1996-01-01,27,i cant sleep baby if i,r kelly,male
1996-01-01,28,counting blue cars,dishwalla,
1996-01-01,29,you learn  you oughta know,alanis morissette,female
1996-01-01,30,one of us,joan osborne,female
1996-01-01,31,wonder,natalie merchant,female
1996-01-01,32,not gon cry,mary j blige,female
1996-01-01,33,gangstas paradise,coolio featuring lv,
1996-01-01,34,only you,112 featuring the notorious big and mase,
1996-01-01,35,down low nobody has to know,r kelly featuring the isley brothers,
1996-01-01,36,youre the one,swv,
1996-01-01,37,sweet dreams,la bouche,
1996-01-01,38,before you walk out of my life  like this and like that,monica,female
1996-01-01,39,breakfast at tiffanys,deep blue something,
1996-01-01,40,1 2 3 4 sumpin new,coolio,male
1996-01-01,41,the world i know,collective soul,
1996-01-01,42,no diggity,blackstreet featuring dr dre,
1996-01-01,43,anything,3t,
1996-01-01,44,1979,the smashing pumpkins,
1996-01-01,45,diggin on you,tlc,
1996-01-01,46,why i love you so much  aint nobody,monica,female
1996-01-01,47,kissin you,total,
1996-01-01,48,count on me,whitney houston featuring cece winans,
1996-01-01,49,fantasy,mariah carey,female
1996-01-01,50,time,hootie  the blowfish,
1996-01-01,51,youll see,madonna,female
1996-01-01,52,last night,az yet,
1996-01-01,53,mouth,merril bainbridge,female
1996-01-01,54,the earth the sun the rain,color me badd,
1996-01-01,55,all the things your man wont do,joe,male
1996-01-01,56,wonderwall,oasis,
1996-01-01,57,woo hah got you all in check,busta rhymes,male
1996-01-01,58,tell me,groove theory,
1996-01-01,59,elevators me  you,outkast,
1996-01-01,60,hook,blues traveler,
1996-01-01,61,doin it,ll cool j,male
1996-01-01,62,fastlove,george michael,male
1996-01-01,63,touch me tease me,case featuring foxy brown,
1996-01-01,64,tonites tha night ,kris kross,
1996-01-01,65,children,robert miles,
1996-01-01,66,theme from mission impossible,adam clayton and larry mullen,
1996-01-01,67,closer to free,bodeans,
1996-01-01,68,just a girl,no doubt,
1996-01-01,69,if your girl only knew,aaliyah,female
1996-01-01,70,lady,dangelo,male
1996-01-01,71,key west intermezzo i saw you first,john mellencamp,male
1996-01-01,72,pony,ginuwine,male
1996-01-01,73,nobody,keith sweat featuring athena cage,
1996-01-01,74,old man and me when i get to heaven,hootie  the blowfish,
1996-01-01,75,if it makes you happy,sheryl crow,female
1996-01-01,76,as i lay me down,sophie b hawkins,female
1996-01-01,77,keep on keepin on,mc lyte featuring xscape,
1996-01-01,78,jealousy,natalie merchant,female
1996-01-01,79,i want to come over,melissa etheridge,female
1996-01-01,80,who do u love,deborah cox,female
1996-01-01,81,unbreak my heart,toni braxton,female
1996-01-01,82,this is your night,amber,female
1996-01-01,83,you remind me of something,r kelly,male
1996-01-01,84,runaway,janet jackson,female
1996-01-01,85,set u free,planet soul,
1996-01-01,86,hit me off,new edition,
1996-01-01,87,no one else,total,
1996-01-01,88,my boo,ghost town djs,
1996-01-01,89,get money,junior mafia featuring the notorious big,
1996-01-01,90,that girl,maxi priest featuring shaggy,
